,Name,RA(deg)_c,Dec(deg)_c,E(B-V)_c,FGHz (mJy)_c,Nimages_c,size(arccsec)_c,sigma (km/s)_c,id_c,Discovery,Discovery Date,Lens Kind,Lens Grade,Description,N Images,Einstein_R,Einstein_R quality,Stellar_v_disp,Stellar_v_disp_err,Ra(deg)_ml,Dec(deg)_ml,Alternate Names
132,2MASX J08355126+3926220,,,,,,,,,Serendipitous,2019.0,GAL-GAL,A,,0.0,,,,,128.963558,39.439353000000004,OGC 0200
133,ACS J084710.65+344826.4,,,,,,,,,Serendipitous,2012-06-15,GAL-GAL,A,This  system has two separate sets of HST F814W values. The second set is as follows: lens magnitude=22.13; Reff=0.04; axis ratio=0.34; PA=158.6,1.0,1.98,,,,131.794375,34.807333,
134,SL2S J085447-012137,,,,,,,,,SL2S,2011-09-08,GRP-GAL,A,From Suyu and Halkola 2010,0.0,5.22,SIE model,,,133.693954,-1.3602999,SA66
135,SDSS J0903+5028,,,,,,,,,SQLS,2003-11-01,GAL-QSO,A,Doubly imaged lensed quasar lying in particularly rich environment. The lens is a luminous red galaxy.,2.0,1.42,SIE model,,,135.89561203,50.47204106,SDSS J090334.92+502819.2
136,SL2S J090408-005953,,,,,,,,,SL2S,2011-09-08,GAL-GAL,A,"This system contains a bright blue arc and a counter-image visible in HST image, also found in the SL2S-RINGS sample.",2.0,1.4,SIE model,,,136.03320300000001,-0.9980139000000001,"SA76, SL2SJ090407-005952"
137,MACS J0911.2+1746,,,,,,,,,MACS Lenses,2010-06-01,XRAY-CLUST,A,Image from Zitrin et al. 2011,0.0,11.0,Reference redshift,1150.0,350.0,137.796988,17.775539000000002,
138,RXJ0911+0551,,,,,,,,,,1997-01-01,GAL-QSO,A,,4.0,,,,,137.8625,5.84778,
139,SDSS J0912+0029,,,,,,,,,SLACS,2006-02,GAL-GAL,A,"This  system shows a faint extended counter-arc to the S in the F814W band, opposite the more prominent Northern arc. Both images are only marginally detected in the F435W band.",2.0,1.63,SIE model,310.0,12.0,138.02212,0.48366000000000003,
140,SDSS J0919+2720,,,,,,,,,Serendipitous,2011-10-01,QSO-GAL,A,,0.0,,,,,139.85927,27.347509999999996,SDSS J091926.22+272051.0
141,SDSS J0924+0219,,,,,,,,,SQLS,2003-08-01,GAL-QSO,A,Quadruply  imaged quasar. Anomalous flux ratio between images A and D at the time of the discovery. Two sets of arcs with different colours can be seen on  the HST frames.,4.0,,SIE model,,,141.23248700000002,2.323611,SDSS J092455.87+021924.9
142,SDSS J0946+1006,,,,,,,,,SLACS,2011-11-01,GAL-GAL,A,The first double-source galaxy-scale strong gravitational lens.,4.0,1.38,SIE model,257.0,20.0,146.73617,10.11467,The Jackpot Lens
143,BRI0952-0115,,,,,,,,,Serendipitous,2000-06-01,GAL-QSO,A,We detect the host galaxy of the z_s=4.50 lensed quasar in BRI 0952-0115.,2.0,2.23,SIE model,,,148.75,-1.50139,
144,SDSS J0956+5100,,,,,,,,,SLACS,2006-02,GAL-GAL,A,"This  system includes a small round red companion to the N of the lens galaxy, not to be confused with the prominent lensed images.",3.0,1.33,SIE model,297.0,16.0,149.12406000000001,51.00186,
145,COSMOS5921+0638,,,,,,,,,COSMOS,2008-05-01,GAL-QSO,A,4-image + ring,4.0,0.62,SIE model,,,149.84068,2.1106700000000003,SL2SJ095921+020638
146,SDSS J0959+0410,,,,,,,,,SLACS,2006-02,GAL-GAL,A,Multiply imaged distant bulge and grand spiral arms.,2.0,0.99,SIE model,203.0,12.0,149.93361000000002,4.17139,Grand Design Source.
147,COSMOS0038+4133,,,,,,,,,COSMOS,2008-05-01,GAL-GAL,A,complete ring with brightness distribution consistent with lensing,0.0,0.6,SIE model,,,150.15948,2.6927351,
148,Q0957+561,,,,,,,,,Serendipitous,1979-01-01,GRP-QSO,A,Q0957 was the first strong lens discovered.,2.0,,,,,150.33700000000002,55.897059999999996,
149,SDSS J1004+4112,,,,,,,,,SQLS,2003-12-01,CLUST-QSO,A,Quadruply  imaged quasar lensed by a cluster of galaxies. One of the largest separation lensed quasar and one of the few systems with detected fifth central image.,5.0,,SIE model,,,151.143142867,41.2121094213,SDSS J100434.92+411242.8
