ra,dec,Lens Name,zs,zl,RA (J2000),Dec (J2000),E(B-V),ms (mag),ml (mag),FGHz (mJy),Nim,"size ("")",dt (days),sigma (km/s),img_path,Name,Discovery,Discovery Date,Lens Kind,Lens Grade,Description,N Images,Einstein_R,Einstein_R quality,Stellar_v_disp,Stellar_v_disp_err,Ra(deg)_ml,Dec(deg)_ml,Alternate Names,isReal,Target
117.92275,27.275375,,,,,,,,,,,,,,,1E 0657-56,SLACS,1995-05-01,XRAY-CLUST,A,"The  Bullet Cluster is one of the hottest, most X-ray luminous clusters known, with numerous multiply-imaged background sources, and a giant arc  on the NW side of the main CD (with measured background source redshift). Multicolor HST-ACS (BVI-bands), Magellan (BVR-bands) and VLT (I-band) imaging is available.",0.0,1.0,SIE model,301.0,16.0,104.65791999999999,-55.95,Bullet Cluster,1,1
123.38041666666665,25.750888888888888,,,,,,,,,,,,,,,2MASX J08355126+3926220,Serendipitous,2019.0,GAL-GAL,A,This  system has two separate sets of HST F814W values. The second set is as follows: lens magnitude=22.13; Reff=0.04; axis ratio=0.34; PA=158.6,0.0,1.98,,,,128.963558,39.439353000000004,OGC 0200,1,1
141.23248700000002,2.323611,SDSS1406+6126,2.13,0.27,211.60341666666665,61.444694444444444,0.015,I=18.88/2,I=18.12,,4,1.98,49.5±1.9,,,,,,,,,,,,,,,,,1,1
45.62874999999999,0.10058333333333334,FBQ0951+2635,1.24,(0.24),147.84404166666667,26.587249999999997,0.022000000000000002,I=16.39/2,I=19.67,F5=1.7,2,1.11,16.0±2.0,,"['FBQ0951I.gif', 'FBQ0951H.gif', 'FBQ0951V.gif', 'FBQ0951Icc.gif', 'FBQ0951Vcc.gif', 'FBQ0951Hcc.gif']",,,,,,,,,,,,,,,1,1
149.84068,2.1106700000000003,,,,,,,,,,,,,,,SDSS J0029-0055,SLACS,2008-08-01,GAL-GAL,A,Luminous  red galaxy lensing two background sources. The most obvious feature of  the lensed emission is a (nearly) complete Einstein ring.,2.0,0.96,SIE model,202.0,18.0,7.2824,-0.93071,A68,1,1
150.15948,2.6927351,,,,,,,,,,,,,,,HE0047-1756,HE survey,2004-05-01,GAL-QSO,A,The  newly discovered double QSO HE 0047−1756 displays several properties that make it a showpiece gravitationally lensed object rather than a binary QSO: The identical (within ±30 km s−1) redshifts of the two quasar images; the similar emission line proﬁles; the detection of a galaxy located between the two QSO components; and the tentative discovery of a partial Einstein ring.,2.0,0.7509999999999999,SIE model,243.0,18.0,12.6155,-17.66889,,1,1
174.51541666666662,3.2494444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
203.09425,3.7944166666666663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
149.93361000000002,4.17139,,,,,,,,,,,,,,,SDSS J0044+0113,SLACS,2008-08,GAL-GAL,A,Comments on IFU+HST Data: Clear coincidence of IFU line emission and HST lensed features.,2.0,0.79,SIE model,254.0,12.0,11.012080000000001,1.2201799999999998,ER 0047-2808,1,1
133.22325,5.25425,,,,,,,,,,,,,,,RXJ0911+0551,SLACS,1997-01-01,GAL-QSO,A,"This  system shows a faint extended counter-arc to the S in the F814W band, opposite the more prominent Northern arc. Both images are only marginally detected in the F435W band.",4.0,1.63,SIE model,310.0,12.0,137.8625,5.84778,,1,1
137.8625,5.84778,SDSS1029+2623,2.197,0.55,157.30562499999996,26.392166666666665,0.022000000000000002,I=18.43/4,I=20.04,,4,22.5,746.±10.,,"['SDSS1138H.gif', 'SDSS1138Icc.gif', 'SDSS1138I.gif', 'SDSS1138Hcc.gif', 'SDSS1138Vcc.gif', 'SDSS1138V.gif']",SDSS J0946+1006,SLACS,2011-11-01,GAL-GAL,A,The first double-source galaxy-scale strong gravitational lens.,4.0,1.38,SIE model,257.0,20.0,146.73617,10.11467,The Jackpot Lens,1,1
172.98533333333333,4.9305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
