lens_names,ra,ra_err,dec,dec_err,description
SDSS1004+4112,1.6784,0.003,50.9279,0.005,deflected
SDSS1004+4112,2.8834,0.095,45.8519,0.209,deflected
SDSS1004+4112,2.9814,0.012,45.6009,0.012,galaxy
SDSS1004+4112,2.9814,0.012,45.6009,0.012,galaxy deflected
SDSS1004+4112,-0.41159999999999997,0.0,40.1929,0.0,galaxy deflected
SDSS1011+0143,8.641499999999999,0.02,0.58314,0.02,deflected
SDSS1011+0143,11.0015,0.03,0.3631399999999998,0.03,deflected
SDSS1011+0143,12.051499999999999,0.03,2.63314,0.03,deflected
SDSS1011+0143,9.1915,0.03,3.18314,0.04,deflected
SDSS1011+0143,10.1915,0.0,1.72314,0.0,galaxy
SDSS1138+0314,11.6344,,3.24944,,source
SDSS1138+0314,11.5314,0.003,4.22844,0.003,deflected
SDSS1138+0314,10.4504,0.003,4.06144,0.003,deflected
SDSS1138+0314,10.936399999999999,0.003,3.19344,0.003,deflected
SDSS1138+0314,11.1604,0.003,3.7834399999999997,0.003,galaxy
SDSS1155+6346,11.9215,,63.7728,,source
SDSS1155+6346,13.8245,0.003,64.1768,0.003,deflected
SDSS1155+6346,13.6055,0.005,64.10379999999999,0.003,galaxy
SDSS1226-0006,12.4356,,-0.100556,,source
SDSS1226-0006,13.6926,0.003,-0.156556,0.003,deflected
SDSS1226-0006,12.8726,0.003,-0.082556,0.003,galaxy
SDSS1226-0006,14.143600000000001,0.007,3.071444,0.004,galaxy deflected
SDSS1332+0347,13.5396,0.006,3.79442,0.006,deflected
SDSS1332+0347,12.5156,0.006,3.2934200000000002,0.006,deflected
SDSS1332+0347,13.3116,0.013,3.67542,0.013,galaxy
SDSS1406+6126,14.1069,0.004,61.4447,0.004,deflected
SDSS1406+6126,12.4679,0.007,60.341699999999996,0.007,deflected
SDSS1406+6126,12.963899999999999,0.006,60.7177,0.006,galaxy
WFI2033-4723,18.365699999999997,0.003,-46.134299999999996,0.003,deflected
WFI2033-4723,19.0797,0.003,-46.0193,0.003,deflected
WFI2033-4723,20.5617,,-47.3953,,source
WFI2033-4723,18.447699999999998,0.003,-47.6723,0.003,deflected
WFI2033-4723,19.1237,0.006,-47.0873,0.009,galaxy
