author,title,discovery,link,id_system,id_ref
Bolton et al. 2008 [ApJ682(2008)964],The Sloan Lens ACS Survey. V. The Full ACS Strong-Lens Sample,,http://admin.masterlens.org/citation.php?referenceID=229&,116,66
Bolton et al. 2006 [ApJ638(2006)703],The Sloan Lens ACS Survey. I. A Large Spectroscopically Selected Sample of Massive Early-Type Lens Galaxies,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=226&,116,67
Sonnenfeld et al. 2013 [arXiv1307.4759],"The  SL2S Galaxy-scale Lens Sample. IV. The dependence of the total mass density profile of early-type galaxies on redshift, stellar mass, and size",,http://admin.masterlens.org/citation.php?referenceID=4316&,117,68
Sonnenfeld et al. 2013 [arXiv1307.4764],"The SL2S Galaxy-scale Lens Sample. III. Lens Models, Surface Photometry and Stellar Masses for the final sample",,http://admin.masterlens.org/citation.php?referenceID=4315&,117,69
Gavazzi et al. 2012 [ApJ761(2012)170],The  SL2S Galaxy-scale Gravitational Lens Sample. I. The Alignment of Mass and Light in Massive Early-type Galaxies at z = 0.2-0.9,,http://admin.masterlens.org/citation.php?referenceID=4317&,117,70
Cooray 2011 [2011arXiv:1110.3784],Lensed galaxies in CANDELS,,http://admin.masterlens.org/citation.php?referenceID=155&,117,71
Ruff et al. 2011 [ApJ727(2011)96],The SL2S Galaxy-scale Lens Sample. II. Cosmic Evolution of Dark and Luminous Mass in Early-type Galaxies,,http://admin.masterlens.org/citation.php?referenceID=158&,117,72
Tu 2009 [A&A501(2009)475],The  mass profile of early-type galaxies in overdense environments: the case  of the double source-plane gravitational lens SL2SJ02176-0513,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=156&,117,73
Sonnenfeld et al. 2013 [arXiv1307.4759],"The  SL2S Galaxy-scale Lens Sample. IV. The dependence of the total mass density profile of early-type galaxies on redshift, stellar mass, and size",,http://admin.masterlens.org/citation.php?referenceID=4316&,118,74
Sonnenfeld et al. 2013 [arXiv1307.4764],"The SL2S Galaxy-scale Lens Sample. III. Lens Models, Surface Photometry and Stellar Masses for the final sample",,http://admin.masterlens.org/citation.php?referenceID=4315&,118,75
Gavazzi et al. 2012 [ApJ761(2012)170],The  SL2S Galaxy-scale Gravitational Lens Sample. I. The Alignment of Mass and Light in Massive Early-type Galaxies at z = 0.2-0.9,,http://admin.masterlens.org/citation.php?referenceID=4317&,118,76
Ruff et al. 2011 [ApJ727(2011)96],The SL2S Galaxy-scale Lens Sample. II. Cosmic Evolution of Dark and Luminous Mass in Early-type Galaxies,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=158&,118,77
Nord et al. 2016 [ApJ827(2016)51],Observation and Confirmation of Six Strong-lensing Systems in the Dark Energy Survey Science Verification Data,,http://admin.masterlens.org/citation.php?referenceID=4329&,119,78
More et al. 2012 [ApJ749(2012)38],The CFHTLS-Strong Lensing Legacy Survey (SL2S): Investigating the Group-scale Lenses with the SARCS Sample,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=161&,119,79
Sonnenfeld et al. 2013 [arXiv1307.4759],"The  SL2S Galaxy-scale Lens Sample. IV. The dependence of the total mass density profile of early-type galaxies on redshift, stellar mass, and size",,http://admin.masterlens.org/citation.php?referenceID=4316&,120,80
Sonnenfeld et al. 2013 [arXiv1307.4764],"The SL2S Galaxy-scale Lens Sample. III. Lens Models, Surface Photometry and Stellar Masses for the final sample",,http://admin.masterlens.org/citation.php?referenceID=4315&,120,81
More et al. 2012 [ApJ749(2012)38],The CFHTLS-Strong Lensing Legacy Survey (SL2S): Investigating the Group-scale Lenses with the SARCS Sample,,http://admin.masterlens.org/citation.php?referenceID=161&,120,82
Ruff et al. 2011 [ApJ727(2011)96],The SL2S Galaxy-scale Lens Sample. II. Cosmic Evolution of Dark and Luminous Mass in Early-type Galaxies,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=158&,120,83
More et al. 2012 [ApJ749(2012)38],The CFHTLS-Strong Lensing Legacy Survey (SL2S): Investigating the Group-scale Lenses with the SARCS Sample,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=161&,121,84
Inada et al. 2012 [AstronJ143(2012)119],The Sloan Digital Sky Survey Quasar Lens Search. V. Final Catalog from the Seventh Data Release,,http://admin.masterlens.org/citation.php?referenceID=295&,122,85
Sluse et al. 2012 [A&A544(2012)A62],Microlensing of the broad line region in 17 lensed quasars,,http://admin.masterlens.org/citation.php?referenceID=297&,122,86
Mosquera et al. 2011 [ApJ738(2011)96],The Microlensing Properties of a Sample of 87 Lensed Quasars,,http://admin.masterlens.org/citation.php?referenceID=238&,122,87
Fadely et al. 2011 [AstronJ141(2011)101],Near-infrared K and L' Flux Ratios in Six Lensed Quasars,,http://admin.masterlens.org/citation.php?referenceID=756&,122,88
Fassnacht et al. 2011 [MNRAS410(2011)2167],Galaxy number counts and implications for strong lensing,,http://admin.masterlens.org/citation.php?referenceID=582&,122,89
Assef et al. 2011 [ApJ742(2011)93],Black Hole Mass Estimates Based on C IV are Consistent with Those Based on the Balmer Lines,,http://admin.masterlens.org/citation.php?referenceID=752&,122,90
Schneider et al. 2010 [AstronJ139(2010)2360],The Sloan Digital Sky Survey Quasar Catalog. V. Seventh Data Release,,http://admin.masterlens.org/citation.php?referenceID=353&,122,91
Inada et al. 2010 [AstronJ140(2010)403],The Sloan Digital Sky Survey Quasar Lens Search. IV. Statistical Lens Sample from the Fifth Data Release,,http://admin.masterlens.org/citation.php?referenceID=974&,122,92
